"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"87","3.44","3","BR7-03113","2015-8-19 00:00:00",21.7704,21.8,"1","3","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.116579999999999,0.0296000000000021
"88","3.44","3","BR7-03131","2015-8-19 00:00:00",22.62356,21.8,"3","1","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.969740000000002,-0.823560000000001
"89","3.44","3","BR7-03111","2015-8-19 00:00:00",21.59992,21.8,"1","1","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0538999999999987,0.20008
"90","3.44","3","BR7-03122","2015-8-19 00:00:00",21.50296,21.8,"2","2","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.150859999999998,0.297039999999999
"91","3.44","3","BR7-03123","2015-8-19 00:00:00",21.59728,21.8,"2","3","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0565399999999983,0.202719999999999
"92","3.44","3","BR7-03134","2015-8-19 00:00:00",22.63452,21.8,"3","4","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.980699999999999,-0.834519999999998
"93","3.44","3","BR7-03114","2015-8-19 00:00:00",21.59796,21.8,"1","4","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0558599999999991,0.20204
"94","3.44","3","BR7-03132","2015-8-19 00:00:00",21.90732,21.8,"3","2","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.253499999999999,-0.107319999999998
"95","3.44","3","BR7-03133","2015-8-19 00:00:00",21.50928,21.8,"3","3","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.144539999999999,0.29072
"96","3.44","3","BR7-03121","2015-8-19 00:00:00",21.63888,21.8,"2","1","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0149399999999993,0.16112
"97","3.51","3","BR7-03111","2015-8-26 00:00:00",22.12984,23.34866667,"1","1","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,-0.472169999999998,1.21882667
"98","3.51","3","BR7-03112","2015-8-26 00:00:00",22.83568,23.42733333,"1","2","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,0.23367,0.59165333
